Team,Franchise,FranchiseID,Season,YearIndex,WinRate,3PA%,ORtg,DRtg,Pace
Atlanta Hawks,Atlanta Hawks,ATL,2005,1,0.159,0.146,100.6,111.1,91.4
Atlanta Hawks,Atlanta Hawks,ATL,2006,2,0.317,0.178,106.4,111.6,90.4
Atlanta Hawks,Atlanta Hawks,ATL,2007,3,0.366,0.163,103,108.3,90
Atlanta Hawks,Atlanta Hawks,ATL,2008,4,0.451,0.165,106.9,108.9,91.1
Atlanta Hawks,Atlanta Hawks,ATL,2009,5,0.573,0.253,109.3,107.6,89.6
Atlanta Hawks,Atlanta Hawks,ATL,2010,6,0.646,0.214,111.9,106.7,90.1
Atlanta Hawks,Atlanta Hawks,ATL,2011,7,0.537,0.222,106.1,107,89.3
Atlanta Hawks,Atlanta Hawks,ATL,2012,8,0.606,0.249,104.9,101.2,90.2
Atlanta Hawks,Atlanta Hawks,ATL,2013,9,0.537,0.286,104.8,104.4,92.6
Atlanta Hawks,Atlanta Hawks,ATL,2014,10,0.463,0.316,105.9,106.4,94.6
Atlanta Hawks,Atlanta Hawks,ATL,2015,11,0.732,0.321,108.9,103.1,93.9
Atlanta Hawks,Atlanta Hawks,ATL,2016,12,0.585,0.336,105.1,101.4,97.1
Atlanta Hawks,Atlanta Hawks,ATL,2017,13,0.524,0.309,104.9,105.7,97.4
Atlanta Hawks,Atlanta Hawks,ATL,2018,14,0.293,0.363,105,110.6,98.3
Atlanta Hawks,Atlanta Hawks,ATL,2019,15,0.354,0.403,108.1,113.9,103.9
Atlanta Hawks,Atlanta Hawks,ATL,2020,16,0.299,0.398,107.2,114.8,103
Atlanta Hawks,Atlanta Hawks,ATL,2021,17,0.569,0.382,115.7,113.3,97.6
Atlanta Hawks,Atlanta Hawks,ATL,2022,18,0.524,0.39,116.5,114.9,97.7
Atlanta Hawks,Atlanta Hawks,ATL,2023,19,0.5,0.331,116.6,116.3,100.7
Atlanta Hawks,Atlanta Hawks,ATL,2024,20,0.439,0.407,117.2,119.4,100.1
New Jersey Nets,Brooklyn Nets,BKN,2005,1,0.512,0.187,101.4,103.1,89.1
New Jersey Nets,Brooklyn Nets,BKN,2006,2,0.598,0.229,103.9,102.4,89.8
New Jersey Nets,Brooklyn Nets,BKN,2007,3,0.5,0.263,105.7,106.6,91.4
New Jersey Nets,Brooklyn Nets,BKN,2008,4,0.415,0.222,104,109.4,91.5
New Jersey Nets,Brooklyn Nets,BKN,2009,5,0.415,0.265,108.3,111,89.9
New Jersey Nets,Brooklyn Nets,BKN,2010,6,0.146,0.181,100.6,110.5,91.4
New Jersey Nets,Brooklyn Nets,BKN,2011,7,0.293,0.201,103.1,109.9,89.9
New Jersey Nets,Brooklyn Nets,BKN,2012,8,0.333,0.278,102.9,109.6,90.1
Brooklyn Nets,Brooklyn Nets,BKN,2013,9,0.598,0.269,108.2,106.2,88.8
